threshold,tp,fp,tn,fn,precision,recall,f1
0.01,54,242,4,0,0.18243243243243243,1.0,0.30857142857142855
0.02,54,239,7,0,0.18430034129692832,1.0,0.31123919308357345
0.03,54,232,14,0,0.1888111888111888,1.0,0.3176470588235294
0.04,54,231,15,0,0.18947368421052632,1.0,0.31858407079646023
0.05,54,227,19,0,0.19217081850533807,1.0,0.32238805970149254
0.060000000000000005,54,219,27,0,0.1978021978021978,1.0,0.3302752293577982
0.06999999999999999,54,212,34,0,0.20300751879699247,1.0,0.3375
0.08,54,204,42,0,0.20930232558139536,1.0,0.3461538461538462
0.09,54,201,45,0,0.21176470588235294,1.0,0.34951456310679613
0.09999999999999999,54,196,50,0,0.216,1.0,0.35526315789473684
0.11,54,193,53,0,0.21862348178137653,1.0,0.3588039867109635
0.12,54,190,56,0,0.22131147540983606,1.0,0.36241610738255037
0.13,54,187,59,0,0.22406639004149378,1.0,0.36610169491525424
0.14,54,183,63,0,0.22784810126582278,1.0,0.3711340206185567
0.15000000000000002,54,178,68,0,0.23275862068965517,1.0,0.3776223776223776
0.16,54,173,73,0,0.23788546255506607,1.0,0.38434163701067614
0.17,54,169,77,0,0.242152466367713,1.0,0.3898916967509025
0.18000000000000002,54,168,78,0,0.24324324324324326,1.0,0.391304347826087
0.19,54,161,85,0,0.25116279069767444,1.0,0.4014869888475837
0.2,54,156,90,0,0.2571428571428571,1.0,0.40909090909090906
0.21000000000000002,54,150,96,0,0.2647058823529412,1.0,0.4186046511627907
0.22,54,146,100,0,0.27,1.0,0.4251968503937008
0.23,54,142,104,0,0.2755102040816326,1.0,0.43199999999999994
0.24000000000000002,54,135,111,0,0.2857142857142857,1.0,0.4444444444444445
0.25,54,133,113,0,0.2887700534759358,1.0,0.4481327800829875
0.26,54,128,118,0,0.2967032967032967,1.0,0.4576271186440678
0.27,54,123,123,0,0.3050847457627119,1.0,0.4675324675324675
0.28,54,120,126,0,0.3103448275862069,1.0,0.4736842105263158
0.29000000000000004,54,115,131,0,0.31952662721893493,1.0,0.484304932735426
0.3,54,110,136,0,0.32926829268292684,1.0,0.4954128440366972
0.31,54,105,141,0,0.33962264150943394,1.0,0.5070422535211268
0.32,54,96,150,0,0.36,1.0,0.5294117647058824
0.33,54,88,158,0,0.38028169014084506,1.0,0.5510204081632654
0.34,54,85,161,0,0.38848920863309355,1.0,0.5595854922279793
